District,DistrictID
Adrian 61,2113
Amity 4J,2252
Annex 29,2111
Arlington 3,2005
Ashland 5,2041
Astoria 1C *,1933
Athena-Weston 29J *,2208
Baker 5J,1894
Bandon 54,1969
Banks 13,2240
Beaverton 48J *,2243
Bend-La Pine 1,1976
Bethel 52,2088
Bethel 52 *,2088
Blachly 90,2095
Brookings-Harbor 17,1974
Brookings-Harbor 17 *,1974
Burnt River 30J,1896
Camas Valley 21,1995
Canby 86,1929
Canby 86 No Incr,1929
Cascade 5,2139
Centennial 28J *,2185
Central 13J,2191
Central Curry 1,1972
Central Linn 552,2105
Central Point 6,2042
Clatskanie 6J *,1945
Colton 53,1927
Coos Bay 9,1965
Coquille 8,1964
Corbett 39,2186
Corbett 39 *,2186
Corvallis 509J,1901
Cove 15,2216
Creswell 40,2086
Crook County,1970
Crow-Applegate 66,2089
Culver 4,2050
Dallas 2,2190
Dallas 2 *,2190
David Douglas 40 *,2189
Days Creek 15,
Days Creek 15 *,
Dayton 8 *,2253
Dayville 16J *,2011
Eagle Point 9,2043
Echo 5 *,2203
Elgin 23,2217
Elgin 23 *,2217
Elkton 34,1998
Enterprise 21,2221
Enterprise 21 *,2221
Estacada 108 *,1930
Eugene 4J,2082
Eugene 4J *,2082
Falls City 57,2193
Falls City 57 *,2193
Fern Ridge 28J,2084
Forest Grove *,2241
Fossil 21J,2248
Gaston 511J *,2245
Gervais 1,2137
Gladstone 115,1931
Glendale 77,2000
Glide 12,1992
Grants Pass 7 *,2054
Greater Albany 8J,2100
Gresham-Barlow 10,2183
Harney County 3 *,2014
Harrisburg 7,2099
Helix 1,2201
Hermiston 8,2206
Hermiston 8 No,2206
Hillsboro 1J *,2239
Hood River County,2024
Huntington 16J,1895
Imbler 11,2215
Jefferson 14J *,2140
Jefferson Co 509J,2053
John Day 3,2008
John Day 3 *,2008
Jordan Valley 3,2107
Joseph 6,2219
Joseph 6 *,2219
Junction City 69,2091
Klamath County,2057
Klamath Falls City Schools,2056
Knappa 4 *,2262
La Grande 1,2213
Lake County 7,2059
Lake Oswego 7J,1923
Lebanon Community Schools,2101
Lincoln County Schools,2097
Long Creek 17,2012
Lowell 71,2092
Mapleton 32,2085
Marcola 79J,2094
Marcola 79J *,2094
McKenzie 68,2090
McMinnville 40,2256
Medford 549C,2048
Milton-Freewater 7,2205
Mitchell 55,2249
Molalla River *,1925
Monroe 1J,1898
Morrow 1,2147
Mt Angel 91,2145
Myrtle Point 41,1968
Neah-Kah-Nie 56 *,2198
Nestucca Valley 101J *,2199
Newberg 29J,2254
North Bend 13,1966
North Clackamas 12,1924
North Douglas 22,1996
North Douglas 22 *,1996
North Lake 14,2061
North Marion 15,2141
North Powder 8J,2214
North Santiam 29,2143
North Wasco County 21,4131
Nyssa 26,2110
Oakland 1,1990
Oakridge 76,2093
Ontario 8C,2108
Oregon City 62 *,1928
Oregon Trail 46,1926
Oregon Trail 46 *,1926
Paisley 11,2060
Parkrose 3,2181
Pendleton 16 *,2207
Perrydale 21J *,2192
Philomath 17J,1900
Phoenix-Talent 4,2039
Phoenix-Talent 4 *,2039
Pilot Rock 2 *,2202
Pine Eagle 61,1897
Pleasant Hill 1,2081
Pleasant Hill 1 *,2081
Port Orford-Langlois *,1973
Portland 1J *,2180
Powers 31,1967
Prairie City 4,2009
Prospect 59,2045
Rainier 13,1946
Redmond 2J *,1977
Reedsport 105,2001
Reynolds 7 *,2182
Riddle 70,1999
Rogue River 35,2044
Roseburg Public Schools,
Salem-Keizer 24J,2142
Santiam Canyon 129 *,2104
Scappoose 1J *,1944
Scio 95,2103
Seaside 10 *,1935
Sheridan 48J,2257
Sherman 1,2195
Sherwood 88J,2244
Sherwood 88J *,2244
Silver Falls 4J,2138
Silver Falls 4J *,2138
Sisters 6,1978
Siuslaw 97J,2096
South Lane 45J *,2087
South Umpqua 19,1994
South Wasco County 1,2225
Spray 1,2247
Springfield 19,2083
St Helens 502 *,1948
Stanfield 61R *,2209
Sutherlin 130 *,2203
Sweet Home 55,2102
Three Rivers,2055
Three Rivers/Josephine CU,2055
Tigard-Tualatin 23J,2242
Tillamook 9,2197
Umatilla 6,2204
Umatilla 6 *,2204
Union 5,2213
Union 5 *,2213
Vale 84,2116
Vernonia 47J,1947
Wallowa 12,2220
Warrenton-Hammond 30 *,1936
West Linn-Wilsonville 3J,1922
Willamina 30J,2255
Winston-Dillard 116,2002
Woodburn 103,2146
Yamhill-Carlton 1 *,2251